species,pu,amount
1,1,0
2,1,0
1,2,0
2,2,0
1,3,0
2,3,0
1,4,0
2,4,0
1,5,0
2,5,0
1,6,0
2,6,0
1,7,0
2,7,0
1,8,0
2,8,0
1,9,0
2,9,0
1,10,0
2,10,0
1,11,0
2,11,0
1,12,0
2,12,0
1,13,0
2,13,0
1,14,0
2,14,0
1,15,0
2,15,0
1,16,0
2,16,0
1,17,0
2,17,0
1,18,0
2,18,0
1,19,1
2,19,1.10713224922534e-05
1,20,0
2,20,0
1,21,0
2,21,0
1,22,0
2,22,0
1,23,0
2,23,0
1,24,0
2,24,0
1,25,0
2,25,0
1,26,0
2,26,0
1,27,0
2,27,0
1,28,0
2,28,0
1,29,0
2,29,0
1,30,0
2,30,0
1,31,0
2,31,0
1,32,0
2,32,0
1,33,0
2,33,0
1,34,0
2,34,0
1,35,0
2,35,0
1,36,0
2,36,0
1,37,0
2,37,0
1,38,2
2,38,0.0085333415181197
1,39,2
2,39,0.00545725803991018
1,40,0
2,40,0
1,41,0
2,41,0
1,42,0
2,42,0
1,43,0
2,43,0
1,44,0
2,44,0
1,45,0
2,45,0
1,46,0
2,46,0
1,47,0
2,47,0
1,48,0
2,48,0
1,49,0
2,49,0
1,50,0
2,50,0
1,51,0
2,51,0
1,52,0
2,52,0
1,53,0
2,53,0
1,54,0
2,54,0
1,55,0
2,55,0
1,56,0
2,56,0
1,57,0
2,57,0
1,58,0
2,58,0
1,59,0
2,59,0
1,60,0
2,60,0
1,61,4
2,61,0.00181231931212086
1,62,1
2,62,0.000175899107267321
1,63,0
2,63,0
1,64,0
2,64,0
1,65,0
2,65,0
1,66,0
2,66,0
1,67,0
2,67,0
1,68,0
2,68,0
1,69,1.14285714285714
2,69,0.0014711591303782
1,70,2.5
2,70,0.00417665072499336
1,71,1.2
2,71,0.00140369178653427
1,72,0
2,72,0
1,73,0
2,73,0
1,74,0
2,74,0
1,75,0
2,75,0
1,76,0
2,76,0
1,77,1
2,77,5.19484095334543e-05
1,78,1.8
2,78,0.00305948402504339
1,79,0
2,79,0
1,80,0
2,80,0
1,81,0
2,81,0
1,82,0
2,82,0
1,83,0
2,83,0
1,84,0
2,84,0
1,85,0
2,85,0
1,86,0
2,86,0
1,87,1
2,87,0.000127360249513548
1,88,0
2,88,0
1,89,0
2,89,0
1,90,0
2,90,0
1,91,0
2,91,0
1,92,0
2,92,0
1,93,0
2,93,0
1,94,0
